title,console,genre,publisher,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date
Trauma Center: Under the Knife,DS,Simulation,Atlus,8.0,0.36,0.3,0.02,0.01,0.03,2005-10-04
Hamtaro: Ham-Ham Heartbreak,GBA,Action,Nintendo,8.0,0.36,0.26,0.0,0.1,0.01,2003-04-08
SAW,PS3,Action,Konami,6.0,0.36,0.13,0.0,0.17,0.06,2009-10-06
The Incredibles: Rise of the Underminer,PS2,Action,THQ,6.1,0.36,0.18,0.0,0.14,0.05,2005-11-01
G-Force,PSP,Action,Disney Interactive Studios,7.0,0.36,0.24,0.0,0.07,0.05,2009-07-21
The Wonderful 101,WiiU,Action,Nintendo,8.0,0.36,0.15,0.08,0.11,0.02,2013-09-15
Nintendo Labo: Toy-Con 02 Robot Kit,NS,Action,Nintendo,7.0,0.36,0.18,0.08,0.08,0.03,2018-04-20
Spider-Man: Shattered Dimensions,X360,Action,Activision,8.2,0.36,0.24,0.0,0.09,0.03,2010-09-07
LEGO Pirates of the Caribbean: The Video Game,PSP,Action,Disney Interactive Studios,6.8,0.36,0.12,0.0,0.15,0.08,2011-05-10
Assassin's Creed III,WiiU,Action-Adventure,Ubisoft,7.7,0.36,0.19,0.0,0.14,0.03,2012-11-18
NARC,PS2,Shooter,Midway Games,5.5,0.36,0.18,0.0,0.14,0.05,2005-03-22
GoldenEye: Rogue Agent,GC,Shooter,Electronic Arts,5.9,0.36,0.28,0.0,0.07,0.01,2004-11-22
Call of Duty: Ghosts,WiiU,Shooter,Activision,8.8,0.35,0.22,0.01,0.09,0.03,2013-11-05
EA Sports MMA,X360,Fighting,EA Sports,7.7,0.35,0.23,0.0,0.09,0.03,2010-10-19
Teenage Mutant Ninja Turtles: Smash-Up,Wii,Fighting,Ubisoft,7.2,0.35,0.33,0.0,0.0,0.03,2009-09-22
Dead or Alive 5 Last Round,PS4,Fighting,Tecmo Koei,7.1,0.35,0.09,0.09,0.13,0.04,2015-02-17
Dragon Ball Z: Extreme Butoden,3DS,Fighting,Namco Bandai Games,5.0,0.35,0.13,0.17,0.03,0.02,2015-10-20
Blasto,PS,Action,Sony Computer Entertainment,4.6,0.35,0.2,0.0,0.13,0.02,1998-04-01
Disney's Tarzan: Return to the Jungle,GBA,Action,Activision,6.9,0.35,0.25,0.0,0.09,0.01,2002-09-14
Transformers: Dark of the Moon,PS3,Action,Activision,5.5,0.35,0.11,0.0,0.18,0.06,2011-06-14
Chicken Shoot,Wii,Action,"Destination Software, Inc",3.0,0.35,0.32,0.0,0.0,0.02,2007-07-05
Dark Void,PS3,Action,Capcom,6.1,0.35,0.18,0.0,0.12,0.05,2010-01-19
The Fairly Odd Parents: Shadow Showdown,PS2,Platform,THQ,5.0,0.35,0.17,0.0,0.13,0.04,2004-09-08
Command & Conquer: Red Alert 3 Ultimate Edition,PS3,Strategy,Electronic Arts,7.4,0.35,0.14,0.0,0.16,0.06,2009-03-23
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,GBA,Platform,THQ,5.5,0.35,0.25,0.0,0.09,0.01,2003-09-24
Over the Hedge,GC,Platform,Activision,6.7,0.35,0.27,0.0,0.07,0.01,2006-05-09
Need for Speed Carbon,GC,Racing,Electronic Arts,7.7,0.35,0.27,0.0,0.07,0.01,2006-10-31
MotoGP 08,X360,Racing,Capcom,6.8,0.35,0.11,0.0,0.2,0.04,2008-10-28
Aggressive Inline,PS2,Sports,Acclaim Entertainment,8.7,0.35,0.17,0.0,0.13,0.04,2002-05-28
Guitar Hero: Smash Hits,PS3,Misc,Activision,7.4,0.35,0.2,0.0,0.11,0.05,2009-06-16
Def Jam Rapstar,PS3,Misc,Konami,7.4,0.35,0.27,0.0,0.04,0.04,2010-10-05
EverGrace,PS2,Role-Playing,Agetec,6.2,0.35,0.1,0.15,0.08,0.03,2000-10-24
Lunar 2: Eternal Blue Complete,PS,Role-Playing,Working Designs,8.1,0.35,0.19,0.0,0.13,0.02,2000-12-15
Suikoden V,PS2,Role-Playing,Konami,7.9,0.35,0.08,0.19,0.06,0.02,2006-03-21
Persona 2: Eternal Punishment,PS,Role-Playing,Atlus,8.7,0.35,0.03,0.28,0.02,0.02,2000-12-22
Might & Magic Heroes VI,PC,Role-Playing,Ubisoft,7.4,0.35,0.15,0.0,0.14,0.05,2011-10-13
NFL Street,GC,Sports,EA Sports BIG,8.3,0.35,0.27,0.0,0.07,0.01,2004-01-13
Resident Evil: Dead Aim,PS2,Shooter,Capcom,6.7,0.35,0.17,0.0,0.13,0.04,2003-06-18
Terminator Salvation,X360,Shooter,Warner Bros. Interactive,5.2,0.35,0.13,0.0,0.18,0.04,2009-05-19
Football Manager Handheld 2010,PSP,Sports,Sega,6.0,0.35,0.0,0.0,0.27,0.09,2009-10-30
NHL 2K10,Wii,Sports,2K Sports,8.2,0.35,0.32,0.0,0.01,0.03,2009-09-15
MLB 06: The Show,PSP,Sports,Sony Computer Entertainment,8.3,0.35,0.32,0.0,0.0,0.03,2006-02-28
Madden NFL 13,PSV,Sports,EA Sports,6.2,0.35,0.28,0.0,0.0,0.07,2012-08-28
Def Jam Icon,X360,Action,Electronic Arts,6.3,0.35,0.3,0.0,0.01,0.03,2007-03-06
Mini Ninjas,PS3,Action,Eidos Interactive,7.4,0.34,0.14,0.0,0.15,0.06,2009-09-08
Driver 2 Advance,GBA,Action,Atari,6.8,0.34,0.25,0.0,0.09,0.01,2002-10-22
Trauma Center: Second Opinion,Wii,Simulation,Atlus,8.2,0.34,0.28,0.03,0.01,0.03,2006-11-14
Tom Clancy's Ghost Recon: Shadow Wars,3DS,Strategy,Ubisoft,7.9,0.34,0.22,0.0,0.1,0.03,2011-03-22
The Eye of Judgment,PS3,Strategy,Sony Computer Entertainment,7.5,0.34,0.28,0.02,0.0,0.03,2007-10-24
Shaun White Snowboarding,PSP,Sports,Ubisoft,6.3,0.34,0.26,0.0,0.04,0.03,2008-11-16
Supreme Commander 2,X360,Strategy,Square Enix,8.2,0.34,0.23,0.0,0.09,0.03,2010-03-16
Backstreet Billiards,PS,Misc,ASCII Entertainment,7.2,0.34,0.19,0.0,0.13,0.02,1998-11-30
Dynasty Warriors 6 Empires,PS3,Action,KOEI,6.4,0.34,0.14,0.15,0.03,0.02,2009-06-23
Battalion Wars 2,Wii,Strategy,Nintendo,7.7,0.34,0.22,0.08,0.02,0.02,2007-10-29
Dynasty Warriors: Gundam 2,PS2,Action,Namco Bandai,4.9,0.34,0.04,0.25,0.03,0.01,2009-04-21
Dynasty Warriors 5 Empires,PS2,Action,KOEI,6.3,0.34,0.11,0.12,0.09,0.03,2006-03-28
Tenchu Z,X360,Action,Microsoft,5.7,0.34,0.27,0.02,0.02,0.03,2007-06-12
Star Ocean: Second Evolution,PSP,Role-Playing,Square Enix,8.0,0.34,0.14,0.16,0.02,0.02,2009-01-20
Lord of Arcana,PSP,Role-Playing,Square Enix,4.7,0.34,0.08,0.17,0.05,0.04,2011-01-25
WWE Day of Reckoning 2,GC,Fighting,THQ,8.3,0.34,0.26,0.0,0.07,0.01,2005-08-29
F.E.A.R.,X360,Shooter,Vivendi Games,8.6,0.34,0.28,0.0,0.03,0.03,2006-10-31
WWE All Stars,X360,Fighting,THQ,7.7,0.34,0.18,0.0,0.14,0.03,2011-03-29
MotorStorm: Arctic Edge,PS2,Racing,Sony Computer Entertainment,7.4,0.34,0.07,0.0,0.03,0.25,2009-10-20
Racquet Sports,PS3,Sports,Ubisoft,4.2,0.34,0.11,0.0,0.17,0.06,2010-09-14
Herbie: Fully Loaded,GBA,Racing,Buena Vista,5.0,0.34,0.24,0.0,0.09,0.01,2005-07-12
Beyond Good & Evil,PS2,Adventure,Ubisoft,8.3,0.33,0.16,0.0,0.13,0.04,2003-11-11
Teen Titans,GC,Action,THQ,6.3,0.33,0.25,0.0,0.07,0.01,2006-05-24
Dead or Alive 5,X360,Fighting,Tecmo Koei,7.6,0.33,0.2,0.03,0.08,0.03,2012-09-25
Street Fighter Alpha 3 MAX,PSP,Fighting,Capcom,7.8,0.33,0.27,0.02,0.01,0.03,2006-02-07
WWE Wrestlemania XIX,GC,Fighting,THQ,7.8,0.33,0.26,0.0,0.07,0.01,2003-09-08
Kirby: Battle Royale,3DS,Fighting,Nintendo,6.0,0.33,0.07,0.2,0.05,0.01,2018-01-19
Call of Duty 2: Big Red One,GC,Shooter,Activision,7.5,0.33,0.25,0.0,0.07,0.01,2005-11-01
Fracture,X360,Shooter,LucasArts,4.0,0.33,0.15,0.0,0.14,0.04,2008-10-07
Mystery Case Files: The Malgrave Incident,Wii,Adventure,Nintendo,6.3,0.33,0.17,0.0,0.13,0.03,2011-06-27
Clock Tower 3,PS2,Adventure,Capcom,7.0,0.33,0.1,0.12,0.08,0.03,2003-03-18
Dr. Mario / Puzzle League,GBA,Puzzle,Nintendo,7.5,0.33,0.12,0.16,0.04,0.01,2005-11-28
Bomberman World,PS,Puzzle,Atlus,6.5,0.33,0.06,0.22,0.04,0.02,1998-09-22
Planet Puzzle League,DS,Puzzle,Nintendo,8.6,0.33,0.14,0.16,0.01,0.01,2007-06-04
"Warhammer 40,000: Squad Command",PSP,Strategy,THQ,6.6,0.33,0.11,0.0,0.14,0.08,2007-11-12
GT Advance Championship Racing,GBA,Racing,THQ,7.5,0.33,0.24,0.0,0.09,0.01,2001-06-08
Mega Man ZX Advent,DS,Platform,Capcom,7.6,0.33,0.22,0.09,0.0,0.02,2007-10-23
NBA 2K10,PSP,Sports,2K Sports,5.5,0.33,0.3,0.0,0.0,0.03,2009-10-06
MVP Baseball 2005,GC,Sports,EA Sports,8.7,0.33,0.25,0.0,0.07,0.01,2005-02-22
The Sims 2,GC,Simulation,Electronic Arts,7.6,0.33,0.26,0.0,0.07,0.01,2005-10-24
Harry Potter and the Deathly Hallows - Part 2,X360,Action,Electronic Arts,4.8,0.33,0.19,0.0,0.11,0.03,2011-07-12
MLB 08: The Show,PSP,Sports,Sony Computer Entertainment,8.3,0.33,0.3,0.0,0.0,0.02,2008-03-04
Deus Ex: Invisible War,XB,Shooter,Eidos Interactive,8.5,0.33,0.25,0.0,0.07,0.01,2003-12-02
Etrian Odyssey,DS,Role-Playing,Atlus,7.4,0.33,0.19,0.09,0.03,0.02,2007-05-15
Untold Legends: The Warriors Code,PSP,Role-Playing,Sony Online Entertainment,6.8,0.33,0.14,0.0,0.12,0.08,2006-03-28
Resonance of Fate,X360,Role-Playing,Sega,7.4,0.33,0.12,0.06,0.13,0.03,2010-03-16
Disgaea: Hour of Darkness,PS2,Role-Playing,Atlus,8.8,0.33,0.16,0.0,0.13,0.04,2003-08-27
Tokyo Mirage Sessions #FE,WiiU,Role-Playing,Nintendo,8.0,0.33,0.17,0.08,0.06,0.02,2016-06-24
Disgaea 2: Cursed Memories,PS2,Role-Playing,NIS America,7.9,0.33,0.09,0.15,0.07,0.02,2006-08-29
Fable III,PC,Role-Playing,Microsoft Game Studios,7.0,0.33,0.11,0.0,0.17,0.05,2011-05-17
The Witcher: Enhanced Edition,PC,Role-Playing,Atari,8.3,0.33,0.32,0.0,0.01,0.0,2008-09-16
Jeanne d'Arc,PSP,Role-Playing,Sony Computer Entertainment,8.4,0.33,0.21,0.1,0.0,0.02,2007-08-21
Capcom Classics Collection Reloaded,PSP,Misc,Capcom,7.1,0.33,0.26,0.03,0.0,0.03,2006-10-24
DECA Sports Freedom,X360,Sports,Hudson Soft,3.0,0.33,0.27,0.0,0.04,0.02,2010-11-18
Banjo-Kazooie: Grunty's Revenge,GBA,Platform,THQ,6.6,0.33,0.24,0.0,0.09,0.01,2003-09-10
Klonoa 2: Lunatea's Veil,PS2,Platform,Namco,9.4,0.33,0.12,0.08,0.1,0.03,2001-07-25
Classic NES Series: Castlevania,GBA,Platform,Nintendo,7.4,0.33,0.17,0.09,0.06,0.01,2004-10-25
Major League Baseball 2K6,XB,Sports,2K Sports,7.3,0.33,0.24,0.0,0.07,0.01,2006-04-03
Ninja Blade,X360,Action,Microsoft,6.7,0.33,0.14,0.02,0.14,0.03,2009-04-07
Golden Axe: Beast Rider,X360,Action,Sega,4.0,0.33,0.19,0.0,0.11,0.03,2008-10-14
Naruto: Rise of a Ninja,X360,Action,Ubisoft,7.8,0.33,0.29,0.0,0.01,0.03,2007-10-30
Ultimate NES Remix,3DS,Action,Nintendo,7.0,0.33,0.19,0.0,0.11,0.03,2014-12-05
Folklore,PS3,Role-Playing,Sony Computer Entertainment,7.5,0.32,0.2,0.05,0.04,0.03,2007-10-09
Bleach: Shattered Blade,Wii,Fighting,Sega,5.3,0.32,0.21,0.08,0.01,0.02,2007-10-09
Shin Megami Tensei: Persona 2: Innocent Sin,PSP,Role-Playing,Atlus,7.0,0.32,0.14,0.11,0.04,0.04,2011-09-20
Street Fighter Alpha 2,SAT,Fighting,Capcom,8.1,0.32,0.0,0.32,0.0,0.0,1996-09-30
Bust-A-Move '99,PS,Puzzle,Acclaim Entertainment,7.7,0.32,0.18,0.0,0.12,0.02,1999-02-28
Marvel: Ultimate Alliance 2,Wii,Role-Playing,Activision,5.6,0.32,0.25,0.0,0.05,0.03,2009-09-15
Eternal Sonata,X360,Role-Playing,Namco Bandai,7.9,0.32,0.19,0.08,0.04,0.02,2007-09-17
Chibi-Robo! Zip Lash,3DS,Platform,Nintendo,5.5,0.32,0.14,0.07,0.09,0.02,2015-10-09
Rayman 2: The Great Escape,PS,Platform,Ubisoft,8.7,0.32,0.18,0.0,0.12,0.02,2000-09-15
Final Fantasy XI: Wings of the Goddess,X360,Role-Playing,Square Enix,6.5,0.32,0.28,0.02,0.0,0.03,2007-11-20
"Ed, Edd n Eddy: Jawbreakers!",GBA,Adventure,BAM! Entertainment,5.0,0.32,0.23,0.0,0.08,0.01,2002-09-15
Shenmue II,XB,Adventure,Microsoft,7.9,0.32,0.22,0.0,0.08,0.01,2002-10-28
Prince of Persia: The Sands of Time,GC,Adventure,Ubisoft,9.0,0.32,0.25,0.0,0.06,0.01,2003-11-18
Championship Bass,PS,Sports,EA Sports,7.1,0.32,0.18,0.0,0.12,0.02,2000-03-07
Beautiful Katamari,X360,Puzzle,Namco Bandai,7.3,0.32,0.14,0.15,0.02,0.02,2007-10-16
Tony Hawk's American Wasteland,X360,Sports,Activision,8.2,0.32,0.28,0.0,0.01,0.03,2005-11-16
Rugby World Cup 2011,PS3,Sports,505 Games,4.5,0.32,0.0,0.0,0.25,0.07,2011-08-26
Elebits,Wii,Action,Konami,7.3,0.32,0.22,0.08,0.01,0.02,2006-12-12
Golden Axe: Beast Rider,PS3,Action,Sega,4.5,0.32,0.13,0.0,0.14,0.06,2008-10-14
DJ Hero,PS2,Misc,Activision,8.3,0.32,0.1,0.0,0.02,0.2,2009-10-27
Vin Diesel: Wheelman,PS3,Racing,Ubisoft,6.9,0.32,0.12,0.0,0.14,0.05,2009-03-24
Phineas and Ferb: Across the 2nd Dimension,PS3,Action,Disney Interactive Studios,6.8,0.32,0.15,0.0,0.12,0.05,2011-08-02
Dead Rising 2: Off the Record,PS3,Action,Capcom,7.1,0.32,0.11,0.1,0.08,0.03,2011-10-11
Fortress,GBA,Action,Majesco,6.6,0.32,0.23,0.0,0.08,0.01,2001-08-13
Crash of the Titans,X360,Action,Sierra Entertainment,6.6,0.32,0.27,0.0,0.02,0.02,2007-10-04
Prey,X360,Shooter,2K Games,8.2,0.32,0.27,0.0,0.03,0.02,2006-07-11
Singularity,X360,Shooter,Activision,7.7,0.32,0.24,0.0,0.04,0.03,2010-06-29
WipEout Pulse,PSP,Racing,Sony Computer Entertainment,8.2,0.32,0.13,0.0,0.12,0.06,2008-02-12
Test Drive Unlimited,X360,Racing,Atari,8.0,0.32,0.23,0.02,0.04,0.02,2006-09-05
DiRT 2,PSP,Racing,Codemasters,7.4,0.32,0.09,0.0,0.15,0.08,2009-09-08
Operation Flashpoint: Red River,PS3,Shooter,Codemasters,6.8,0.32,0.06,0.07,0.14,0.05,2011-06-07
Marvel Nemesis: Rise of the Imperfects,PSP,Fighting,Electronic Arts,6.8,0.32,0.29,0.0,0.0,0.02,2005-10-04
BlazBlue: Continuum Shift,X360,Fighting,Aksys Games,8.6,0.32,0.23,0.02,0.04,0.02,2010-07-27
Dead Space 2,PC,Shooter,Electronic Arts,8.9,0.32,0.13,0.0,0.15,0.04,2011-01-25
Army of Two: The 40th Day,PSP,Shooter,Electronic Arts,4.8,0.32,0.12,0.0,0.13,0.08,2010-01-12
Clive Barker's Jericho,X360,Shooter,Codemasters,5.8,0.32,0.28,0.0,0.01,0.02,2007-10-23
Payday 2,PS4,Shooter,505 Games,6.5,0.32,0.12,0.0,0.14,0.05,2015-06-16
NASCAR Thunder 2003,GC,Racing,EA Sports,8.8,0.31,0.24,0.0,0.06,0.01,2002-09-19
Fuel,X360,Racing,Codemasters,6.6,0.31,0.09,0.0,0.18,0.04,2009-06-02
Catherine,X360,Puzzle,Atlus,7.9,0.31,0.2,0.03,0.06,0.02,2011-07-26
KuruKuru Kururin,GBA,Puzzle,Nintendo,7.2,0.31,0.0,0.3,0.0,0.01,2001-06-22
Dark Void,X360,Action,Capcom,6.1,0.31,0.19,0.0,0.09,0.03,2010-01-19
40 Winks,PS,Platform,GT Interactive,5.5,0.31,0.17,0.0,0.12,0.02,1999-11-14
Mega Man Maverick Hunter X,PSP,Platform,Capcom,7.9,0.31,0.27,0.0,0.01,0.03,2006-01-31
Namco Museum: Virtual Arcade,X360,Misc,Namco Bandai,7.0,0.31,0.27,0.01,0.01,0.02,2008-11-04
Tiger Woods PGA Tour 06,X360,Sports,EA Sports,6.9,0.31,0.28,0.0,0.0,0.02,2005-11-16
Bass Hunter 64,N64,Sports,Take-Two Interactive,6.0,0.31,0.25,0.0,0.06,0.0,1999-06-30
NBA Live 08,PSP,Sports,Electronic Arts,6.8,0.31,0.28,0.0,0.0,0.02,2007-10-01
Spider-Man 3,PSP,Platform,Activision,5.3,0.31,0.01,0.0,0.24,0.06,2007-10-16
Silent Hill: Shattered Memories,PSP,Adventure,Konami,7.8,0.31,0.09,0.01,0.13,0.07,2010-01-19
The Matrix: Path of Neo,XB,Action,Atari,6.7,0.31,0.23,0.0,0.07,0.01,2005-11-07
Yu-Gi-Oh! 5D's World Championship 2010 Reverse of Arcadia,DS,Strategy,Konami,7.6,0.31,0.18,0.09,0.02,0.02,2010-02-23
The Settlers 7: Paths to a Kingdom,PC,Strategy,Ubisoft,7.8,0.31,0.0,0.0,0.27,0.04,2010-03-23
WarCraft II: The Dark Saga,PS,Strategy,Electronic Arts,7.3,0.31,0.18,0.0,0.12,0.02,1997-08-31
Mega Man Zero Collection,DS,Platform,Capcom,7.5,0.31,0.17,0.11,0.01,0.02,2010-06-08
Star Wars Episode III: Revenge of the Sith,DS,Action,Ubisoft,7.3,0.31,0.25,0.0,0.03,0.02,2005-05-04
Sonic Boom: Rise of Lyric,WiiU,Action-Adventure,Sega,3.7,0.31,0.19,0.0,0.09,0.03,2014-11-11
Bust-A-Move Universe,3DS,Puzzle,Square Enix,5.6,0.31,0.08,0.06,0.15,0.02,2011-03-27
Shaun White Snowboarding,PS2,Sports,Ubisoft,6.2,0.31,0.15,0.0,0.12,0.04,2008-11-16
South Park: Chef's Luv Shack,PS,Misc,Acclaim Entertainment,3.1,0.31,0.17,0.0,0.12,0.02,1999-10-31
A Collection of Intellivision Classic Games,PS,Misc,Activision,4.3,0.31,0.17,0.0,0.12,0.02,1999-10-30
Star Wars Racer Revenge,PS2,Racing,LucasArts,7.8,0.31,0.15,0.0,0.12,0.04,2002-02-11
NASCAR 2011: The Game,X360,Racing,Activision,6.0,0.31,0.29,0.0,0.0,0.02,2011-03-29
Cart World Series,PS,Racing,Sony Computer Entertainment,7.0,0.3,0.17,0.0,0.11,0.02,1997-09-16
Monster Truck Madness 64,N64,Racing,Rockstar Games,5.5,0.3,0.24,0.0,0.06,0.0,1999-06-30
The King of Fighters XIII,PS3,Fighting,Atlus,7.8,0.3,0.17,0.04,0.07,0.03,2011-11-22
Ehrgeiz,PS,Fighting,Square,6.7,0.3,0.17,0.0,0.12,0.02,1999-05-04
PowerUp Heroes,X360,Fighting,Ubisoft,4.0,0.3,0.18,0.0,0.09,0.03,2011-10-18
Radiant Historia,DS,Role-Playing,Atlus,8.5,0.3,0.19,0.09,0.0,0.02,2011-02-22
Capcom Classics Collection Remixed,PSP,Misc,Capcom,7.7,0.3,0.27,0.0,0.0,0.02,2006-03-22
Guitar Hero: Van Halen,X360,Misc,Activision,6.2,0.3,0.16,0.0,0.1,0.03,2009-12-22
Def Jam Rapstar,X360,Misc,Konami,7.4,0.3,0.26,0.0,0.03,0.02,2010-10-05
FIFA 15,PC,Sports,EA Sports,7.0,0.3,0.0,0.0,0.28,0.02,2014-09-23
Madagascar,DS,Platform,Activision,6.3,0.3,0.25,0.0,0.03,0.02,2005-05-23
Dynasty Warriors 6,X360,Action,KOEI,6.2,0.3,0.15,0.06,0.06,0.02,2008-02-19
Looney Tunes: Duck Amuck,DS,Action,Warner Bros. Interactive,6.4,0.3,0.28,0.0,0.0,0.02,2007-10-09
Fist of the North Star: Ken's Rage 2,PS3,Action,Tecmo Koei,5.0,0.3,0.0,0.3,0.0,0.0,2013-02-05
Tom Clancy's Splinter Cell 3D,3DS,Action,Ubisoft,8.0,0.3,0.14,0.07,0.07,0.02,2011-04-10
Chaos Legion,PS2,Action,Capcom,6.2,0.3,0.15,0.0,0.12,0.04,2003-08-06
Resident Evil Archives: Resident Evil,Wii,Action,Capcom,7.6,0.3,0.16,0.08,0.04,0.02,2009-06-23
NBA Live 2003,GC,Sports,EA Sports,8.4,0.3,0.23,0.0,0.06,0.01,2002-10-08
Finding Nemo: The Continuing Adventures,GBA,Action,THQ,8.0,0.3,0.21,0.0,0.08,0.01,2004-09-08
Batman: The Brave and the Bold the Videogame,DS,Action,Warner Bros. Interactive,7.5,0.3,0.23,0.0,0.04,0.02,2010-09-07
Contra 4,DS,Shooter,Konami,8.1,0.3,0.28,0.01,0.0,0.02,2007-11-13
Rayman 2: Revolution,PS2,Platform,Ubisoft,8.7,0.3,0.15,0.0,0.11,0.04,2001-01-30
Dragon Force,SAT,Strategy,Working Designs,9.0,0.3,0.0,0.3,0.0,0.0,1996-11-30
Full Spectrum Warrior,PS2,Strategy,THQ,8.5,0.3,0.15,0.0,0.11,0.04,2005-03-21
N3: Ninety-Nine Nights,X360,Action,Microsoft Game Studios,6.3,0.3,0.2,0.05,0.03,0.02,2006-08-15
MySims SkyHeroes,Wii,Action,Electronic Arts,6.4,0.3,0.16,0.0,0.1,0.03,2010-09-28
F1 2013,X360,Racing,Codemasters,7.9,0.3,0.01,0.0,0.28,0.02,2013-10-08
Syphon Filter: Dark Mirror,PSP,Shooter,Sony Computer Entertainment,8.5,0.3,0.26,0.0,0.01,0.03,2006-03-14
Shaun White Snowboarding: World Stage,Wii,Sports,Ubisoft,7.2,0.3,0.24,0.0,0.03,0.02,2009-11-08
Lumines ll,PSP,Puzzle,Buena Vista,8.0,0.3,0.12,0.0,0.12,0.07,2006-11-06
Magna Carta 2,X360,Role-Playing,Namco Bandai,6.6,0.3,0.13,0.07,0.07,0.02,2009-10-13
Crazy Taxi: Catch a Ride,GBA,Racing,THQ,4.8,0.3,0.21,0.0,0.08,0.01,2003-04-09
Burnout,GC,Racing,Acclaim Entertainment,7.7,0.3,0.23,0.0,0.06,0.01,2002-04-29
Sonic Boom: Shattered Crystal,3DS,Platform,Sega,3.8,0.29,0.17,0.0,0.09,0.03,2014-11-11
Rock Revolution,X360,Misc,Konami,3.6,0.29,0.26,0.0,0.0,0.02,2008-10-15
Assassin's Creed IV: Black Flag,WiiU,Action-Adventure,Ubisoft,8.5,0.29,0.17,0.0,0.1,0.03,2013-10-29
NBA Live 06,X360,Sports,EA Sports,6.5,0.29,0.27,0.0,0.0,0.02,2005-11-16
Ever Oasis,3DS,Role-Playing,Nintendo,8.1,0.29,0.13,0.05,0.08,0.02,2017-06-23
Grandia II,PS2,Role-Playing,Ubisoft,7.4,0.29,0.14,0.0,0.11,0.04,2002-01-28
NieR,X360,Role-Playing,Square Enix,6.4,0.29,0.13,0.04,0.1,0.02,2010-04-27
Atelier Iris 3: Grand Phantasm (US Sales),PS2,Role-Playing,NIS America,6.1,0.29,0.14,0.0,0.11,0.04,2007-05-29
The Lord of the Rings: The Third Age,GC,Role-Playing,Electronic Arts,7.9,0.29,0.22,0.0,0.06,0.01,2004-11-02
"Sakura Wars: So Long, My Love",PS2,Role-Playing,NIS America,8.8,0.29,0.07,0.15,0.05,0.02,2010-03-30
Overcooked! 2,NS,Simulation,Sold Out,8.4,0.29,0.17,0.01,0.09,0.03,2018-08-07
The Sims 2,PC,Simulation,Electronic Arts,8.9,0.29,0.02,0.0,0.24,0.03,2004-09-14
Glory of Heracles,DS,Role-Playing,Nintendo,6.8,0.29,0.19,0.08,0.0,0.02,2010-01-18
X-Men Legends II: Rise of Apocalypse,PSP,Role-Playing,Activision,8.5,0.29,0.25,0.0,0.01,0.02,2005-10-18
Harvest Moon: Magical Melody,Wii,Simulation,Natsume,6.3,0.29,0.23,0.0,0.04,0.02,2009-08-25
Ace Combat: Joint Assault,PSP,Simulation,Namco Bandai,7.0,0.29,0.06,0.15,0.05,0.03,2010-08-31
Trauma Center: New Blood,Wii,Simulation,Atlus,7.5,0.29,0.22,0.01,0.04,0.02,2007-11-20
Duel Masters: Sempai Legends,GBA,Misc,Atari,7.1,0.29,0.21,0.0,0.08,0.01,2004-06-01
The Golden Compass,PS3,Adventure,Sega,4.3,0.29,0.14,0.0,0.1,0.05,2007-12-04
The Legend of Legacy,3DS,Role-Playing,Atlus,6.0,0.29,0.14,0.11,0.02,0.02,2015-10-13
Zoo Tycoon 2 DS,DS,Strategy,THQ,6.9,0.29,0.24,0.0,0.03,0.02,2008-02-04
Phoenix Wright: Ace Attorney: Spirit of Justice,3DS,Adventure,Capcom,8.1,0.29,0.0,0.29,0.0,0.0,2016-09-30
Up,X360,Adventure,THQ,6.5,0.29,0.2,0.0,0.07,0.03,2009-05-26
Majin and the Forsaken Kingdom,PS3,Adventure,Namco Bandai,7.0,0.29,0.09,0.01,0.14,0.05,2010-11-23
The BIGS 2,Wii,Sports,2K Sports,6.3,0.29,0.26,0.0,0.01,0.02,2009-07-07
Feel the Magic XY/XX,DS,Puzzle,Sega,7.7,0.29,0.17,0.1,0.0,0.02,2004-11-16
Dead Rising: Chop Till You Drop,Wii,Action,Capcom,6.7,0.29,0.15,0.05,0.07,0.02,2009-02-24
Prince of Persia: Rival Swords,Wii,Action,Ubisoft,7.0,0.29,0.24,0.0,0.03,0.02,2007-04-03
Sengoku Basara: Samurai Heroes,Wii,Action,Capcom,6.0,0.29,0.06,0.2,0.02,0.01,2010-10-12
Warriors Orochi 2,PSP,Action,KOEI,5.3,0.29,0.06,0.22,0.0,0.01,2009-08-25
Spider-Man: Friend or Foe,X360,Action,Activision,5.9,0.29,0.26,0.0,0.01,0.02,2007-10-02
Dynasty Warriors: Strikeforce,PS3,Action,Tecmo Koei,6.8,0.29,0.11,0.07,0.08,0.03,2010-02-16
Kenka Bancho: Badass Rumble,PSP,Action,Atlus,7.0,0.29,0.07,0.2,0.0,0.01,2009-11-10
Trace Memory,DS,Adventure,Nintendo,6.5,0.29,0.15,0.12,0.01,0.01,2005-09-26
Just Dance 2017,NS,Music,Ubisoft,6.5,0.29,0.07,0.0,0.2,0.02,2017-03-03
Rayman 3: Hoodlum Havoc,PS2,Platform,Ubisoft,7.4,0.29,0.14,0.0,0.11,0.04,2003-03-17
Spyro: A Hero's Tail,GC,Platform,VU Games,6.4,0.29,0.22,0.0,0.06,0.01,2004-11-03
Earthworm Jim,GBA,Platform,Majesco,7.2,0.29,0.2,0.0,0.08,0.01,2001-06-10
